word	context	positions	gold_sense_id	predict_sense_id
ball	ball to Walton, positioned on the left side of the court close to the basket.	0-4	0	2
ball	He is short and powerfully built with his hair greased straight back, dark glasses, black suit and shoes, starched white shirt with a high collar, gold cuff links which he's constantly snapping and adjusting, a ball point pen which he clicks continuously.	211-215	2	2
ball	Working out with manager Leo Durocher in spring training, he fired a double-play ball to Leo, playing second, and broke his right thumb.	81-85	0	2
ball	"When the ashes cool, the widow Gertrude Leemer, still recovering from a double mastectomy, hefts her husband's skull like a bowling ball and muses, "" The final scar makes"	132-136	0	2
ball	"Follow the Bouncing Ball // Ms. Birnbaum, a lawyer and the club ' s operations partner, said, "" We felt the time was right for the audience to be part of the entertainment. """	20-24	0	2
ball	In the eighth, I got a Texas league single, and made second on a passed ball.	72-76	0	2
ball	Stickin ' the ball in his back pocket like that.	14-18	12	2
ball	"That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."	46-50	0	2
ball	a kind of eye-hand coordination, like hitting a golf ball.	53-57	0	2
ball	I felt like an idiot doing it, but I pulled out the one-iron and hit the ball down the right side away from all the trouble on the left.	73-77	0	2
ball	Therefore, Darcy unfailingly made his box available to his cousin for interests that they shared, such as the theater and opera, and for those they did not, the occasional wager on the roll of a ball or turn of a card provided what was lacking.	195-199	0	2
ball	"eight ball, but I 'm going to drag her down to Be-Stitched the minute she gets here and force her to make a decision. """	6-10	0	2
ball	In her sleep she seems to mew like a kitten, and he watches her with a strange mixture of tenderness and condescension, imagining that she's dreaming about a ball of yarn, a plate	158-162	0	2
ball	UP THE BURN: stand on a Bosu ball as you chop.	29-33	0	1
ball	"For this week's profile of triple-threat comedy star Tim Allen, Ressner -- along with correspondent Patrick Cole -- carried the ball for a touchdown. """	128-132	0	2
ball	(Small by basketball standards, Washington leaps so high that he has tune to dunk two balls on the same jump.)	86-91	0	2
ball	Covered with metallic balls for discharging electrical energy, the monstrous contraption seemed fit for a horror	22-27	0	2
ball	So I heard it out alone, then came back in and switched on the ball game.	63-67	0	2
ball	And two metal balls suspended on delicate wires will attract one another in the proper way.	14-19	0	2
ball	He hits a long ball, Webb was right, but Harry doesn't like his swing: too wristy.	15-19	0	2
ball	"It is a vertical curve, however, due to the ball spinning in an up-and-down motion instead of side-to-side. """	44-48	0	2
ball	The teacher tells his students how poorly they have done on the midterm exam, hands clasped behind him as he shifts back and forth from the heels to the balls of his feet.	153-158	13	0
ball	But even as he dove to overtake the ball traversing	36-40	0	2
ball	Medical updates were released three times a day, and hundreds stood vigil outside the East Side hospital, including dozens of children who weren't even old enough to have seen their idol play ball.	192-196	14	2
ball	The ball comes zinging back like a small cannon ball, and an opponent's 18-in.	4-8	0	2
ball	Wedging myself into the pack, I tried to make a grab at the man with the ball.	73-77	0	2
ball	Wooden clubs required two properties: a head sufficiently hard to withstand successive hits on the ball and a springy, or whippy, shaft.	99-103	0	2
ball	As always, the ball exploded off his club face and rode the soft wind to disappear beyond the sloping fairway and run a dozen yards farther, leaving him a short iron to the green.	15-19	0	2
ball	"The Nightman's eyes moved to the ball in Frank Sullivan's hand and his body constricted in sickening anticipation. """	33-37	0	2
ball	There were now about 20 balls, many of them shockingly bright and pristine, with not a mark on them except perhaps, as I imagined suddenly, a small PC for Paul Christman stamped on the cover.	24-29	0	2
ball	"The play in golf is hitting the ball, which I can do, while the play in football is running to catch the pass. """	32-36	0	2
ball	// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide.	32-36	0	2
ball	"More rambling here, but the short version is the woman's crazy, the kind who says one thing and does another, wants control of every facet of his life, always has to know where he's been, who he's been with, like she hasn't got his balls already and that isn't enough. """	232-237	4	0
ball	From the first second the ball sailed over the heads of the fielders, it was clear to everyone that this shot was headed way, way beyond the red Plymouth, which meant it would sail over into the grassy lots alongside the train tracks.	26-30	0	2
ball	Picking up a ball, any kind of ball, I always had a feeling for it.	31-35	0	2
ball	de resistance -- and he called it by just those words in French -- and they produced a somewhat rusty, out-ofdate musket, which he handed gravely to the toion, asking one of the sailors to provide powder and ball plus an exhibition of how the old gun should be fired.	208-212	0	2
ball	I played ball, and that's what I liked to do.	9-13	0	2
ball	And I thought with sudden insight of myself, then, sitting alone in an empty house, holding in my possession a unique life that no one else would ever know: the hours I spent as a child keeping elaborate scores and records for games of my own invention-some with a tennis ball and racquet, targeting the rectangular openings in the green glider on the front porch of	272-276	0	2
ball	STANKOVICHI swear asshole, if this thing is a phony, I 'm gon na personally track you down, cut off your balls and stuff ' em down your throat.	105-110	15	0
ball	Jackie grabs a cue from a pine hutch and rubs blue chalk on the tip while Sharkey starts racking up the balls.	104-109	0	2
ball	Such examples of West Virginia basket -- ball fanaticism are as profuse as the timber in the hills around Morgantown,	41-45	0	2
ball	"Cummings described his glee at seeing what happened to batters when he finally got around to throwing his discovery pitch in a game: "" I began to watch the flight of the ball through the air, and distinctly saw it curve, "" he said, "" a surge of joy flooded over me that"	170-174	0	2
ball	When a player is tackled, it is a good thing if he can manage to curl into a ball, because the convexity of the hack acts as a shield, like a tortoise's shell particularly when there are nine people on top of one.	77-81	0	0
ball	Eddie himself wasn't very religious -- he played ball with us at the Parade Grounds on Saturdays -- but he was determined not to hurt his mother, and I guess I could understand why at the time.	49-53	0	2
ball	We've got to control the ball and not let them have it They didn't make a mistake last year.	25-29	0	2
ball	next day's ball game, which was against Bear Paw and was sure to be tough, that team by report having recruited three or four city ringers.	11-15	0	2
ball	Feather ball remained the norm until about 1850, when gutta percha was introduced, making balls somewhat cheaper.	8-12	2	2
ball	HAWKER If that's his original ball, I 'm Arnold Palmer.	30-34	0	2
ball	"the sheriff said, taking aim at a red ball. """	38-42	0	2
ball	"But since Marks and Caesar's fundamental safety rules, like "" Let the ball roll, no matter where it may go, "" still apply, it's good to know that the songbook, with its simple, catchy music and lyrics, is available once again (Hardcover: Abrams."	70-74	0	2
ball	take short drop-backs on pass plays, read the defense quickly to determine who is open and then pass the ball to a spot, rather than to a receiver's hands.	105-109	0	2
ball	It's all part of the same ball of wax.	26-30	0	2
ball	"The second night one of his brothers arrived, having driven all the way from Nashtoba to carry him to the ball game. """	106-110	0	2
ball	, but Halfback Bob Boyd, who hadn't been doing too well until then, intercepted and ran the ball to the Packer 14.	92-96	0	2
ball	" I'll go get the ball,  Tracy said. """	18-22	0	0
ball	"can jump, you don't fret as much when the ball's in the air because he's got a chance to get it. """	42-46	0	2
ball	away with a woman line judge, resulting in the headline NEW BALLS, PLEASE.	60-65	3	1
ball	How did Montanathrow the ball, a trio of large and hungry Cowboys bearing down on him as if he were the last ham sandwich left in the free world?	25-29	0	2
ball	Then he stepped aside, and the center-fielder took the ball from the pocket	55-59	0	2
ball	up and hurled his own ball over Beau's head.	22-26	0	2
ball	"who teaches children aged four to eight, suggests "" shrinking "" some elements of the game to help reduce frustration: Try using only half the court; string up a rope "" net "" to about the height of your child's waist; and reduce tennis ball bounce by deflating the ball slightly (or check sports shops for balls designed with kids in mind)."	305-310	0	2
ball	"Because he couldn't think of anything else, he spent nights diving into country club water hazards and collecting golf balls to have something to sell at the flea markets. """	119-124	0	2
ball	He is hard to get hold of like a ball because a ball has no corners or edges to get hold of it by.	48-52	0	2
ball	The ball just goes flup and doesn't bounce back up to him.	4-8	0	2
ball	She float around like a ball lightning, first over the river, then under.	24-28	0	2
ball	The game was invented by Albion crewmen after they found, not surprisingly, that ordinary golf balls kept rolling off the flight deck.	95-100	0	2
ball	Dissolve to: -- 4 -- 4 Interior: Armstead's Bar, Time Lapse Two balls lay side by side on the table.	64-69	0	2
ball	He'd be a eunuch if you cut his balls off.	32-37	4	0
ball	Some children were playing an impenetrablegame, involving both the fire-escape ladder and a ball, in this alley, and on the sidewalk.	92-96	0	2
ball	"Aesop sighed, grabbed hold of his balls with his left hand -- which was how the two of us swore to sacred oaths -- and lifted his right hand into the air. """	34-39	4	0
ball	By the way, Gail why don't you ask if we can have the hunt ball here in the Charnel.	59-63	1	2
ball	"You want me to hit the ball with this? """	23-27	0	2
ball	Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants.	0-5	0	2
ball	Olympian Dan Majerle lunges in an attempt to steal the ball from Spud Webb during Sunday ' s exhibition in Charlotte, N.C.	55-59	0	2
ball	Dowis, who hails from Ty Cobb's hometown of Royston, Ga., is quick-footed and quick-witted, able to flip the ball to a trailing halfback at the last split second.	109-113	0	2
ball	They attended polo matches, receptions, balls, and gave a number of their own, and the only time she slowed down at all was in 1924, when she again found out she was pregnant.	40-45	1	2
ball	Halftime last game, coach is pissed I ran it on a pass play, out on the field he says to me ' you got ta think about the team and you got ta ' you know and ' if you run that ball again you're out ', and I said to him you got ta let me play!	174-178	0	2
ball	hadn't hit it, that ball's just a chunk of cowhide.	20-24	0	2
ball	They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone.	69-73	0	2
ball	"One of Wagner's biggest problems was his slow arm action on his changeup, so pitching coach Ray Miller addressed the problem by teaching Wagner a palm ball. """	151-155	0	2
ball	He put the white cue ball in the center of the table, sighted quickly, and then with a quick hard thrust of his hips sent the white ball rauinliug into the tight triangle of red balls.	132-136	0	2
ball	With fires blazing in almost every room -- though there were adequate coal furnaces -- and holiday greens at every window and enormous Christmas trees in the public rooms dancing with tinsel and glass balls and toy reindeer and Santa Clauses, and ballroom music every night and liquors and wines donated by the management, it was a joyous and resplendent time at the resort.	201-206	0	2
ball	Later, Carter will go to the White House to review the inaugural parade, then enter the White House as its occupant for the first time before heading for the seven inaugural balls	174-179	1	2
ball	On and on he went, playing as if he had taken lessons from Rube Goldberg-straying down an adjoining fairway on the eighth, bouncing his ball off a tree on the 15th, dumping his drive into loose sod on the 16th.	136-140	0	2
ball	When you do this, the club often bottoms out before it reaches the ball.	67-71	0	2
ball	After the game Lorenzen claimed he was just trying to keep the ball out of the hands of the LSU offense.	63-67	0	2
ball	had shining green or blue reflector balls set on pedestals, objects Hughes had not seen since his childhood.	36-41	0	2
ball	 Cut my balls off, I suppose. 	9-14	16	0
ball	Sacred Heart in-bounded the ball and scored an uncontested layup.	28-32	0	2
ball	"Give me the ball and get back to your huddle. """	12-16	0	2
ball	She was alone on the tee, hitting balls out to Kenny Burke's little brother -- but she wasn't so much hitting as flailing at them with the most god-awful swing one could imagine.	34-39	0	2
ball	of Agriculture plans to release hundreds of thousands of flies to decapitate fire ants Woman claims fried chicken head was in her McDonald's order TESTICULAR CANCER AND SONG Marlins ' Mike Lowell says radiation treatments for testicular cancer made him a stronger player Boy George injured by a falling disco ball Phil Collins ' You'll Be in My Heart beats Blame Canada at the Oscars After recovering from testicular cancer, Green Bay's Josh Bidwell returns to punting ' N Sync performs at bat mitzvah of AOL executive's daughter MTV's Tom Green sings a song about his testicular cancer Lance Armstrong wins his second consecutive Tour de France The Rock sings on Wyclef Jean's song	309-313	0	2
ball	"I didn't have a lot of things to do except throw a ball all day long, "" Tim says. """	51-55	0	2
ball	you put a ball on the kitchen floor and let go, it would roll straight into the dining room (through the legs of the heavy wooden table), past my mother's study, and finally into the living room where the pile of my father's failed inventions inevitably stopped the ball's trajectory.	10-14	0	2
ball	If dough is soft and sticky, press scraps into a ball and repeat step 3.	49-53	0	2
ball	The big man threw the first two balls very hard and fast.	32-37	0	2
ball	I keep my other guard behind the ball as a trailer for a safety pass, and if he gets the ball his move is to the other side.	33-37	0	2
ball	is to gently insert an olive oil-soaked cotton ball into each ear at bedtime.	47-51	0	2
ball	oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations.	166-170	0	2
player	"In "" Bogey Plaza, ' the crew lounge, Tian Jiang, a world-class pianist performing on board, was playing pingpong with a German pastry chef, thoroughly ignored by the chess players at surrounding tables."	172-179	0	0
player	Marcus was Sweden's tennis champion in the 1920s and is still an expert player; he also excels at pingpong.	72-78	0	0
player	Seven players who could go the same route: * Carlos Delgado, Toronto Blue Jays.	6-13	0	0
player	HEATHER (CONT 'D) (to Card Player) This is your best card?	27-33	0	0
player	"Only nine players came out for the team last year, and none was named McDuffy. """	10-17	0	0
player	"To a young football player who wants to buy a car: """	20-26	0	0
player	And here's the real kicker: Because the key players are federally insured banks, every taxpayer in the country is on the line.	44-51	7	0
player	Series, the League Championship and the World Series must be canceled and that the Clubs will explore all avenues to achieve a meaningful, structural reform of Baseball's player compensation system in an effort to ensure that the 1995 and future Championship Seasons can occur as scheduled and uninterrupted.	171-177	0	0
player	"Christine was standing with two other little girls in front of the "" pavilion, "" the rather grandly named shack which served as both a dressing room for the players and a snack bar for the spectators."	157-164	0	0
player	There was no tape in the tape player, and nothing in the mini-fridge but splits of Moet.	30-36	2	2
player	Ace the Arcade A just-released study confirms one of your worst fears: Violent video games -- the kind where the player tries to kill enemies that pop out of nowhere -- are excellent at improving your kid's visual attention skills.	113-119	0	2
player	"// "" I ' m not much of a rah-rah player, "" Tommy Herr says. """	33-39	0	0
player	Now the players had vanished, their existence shattered by the simple fact of his presence.	8-15	0	0
player	When I 'm swinging well, I can hold my own against most players who wouldn't be considered short.	56-63	0	0
player	"Hersh said in an interview that Ben-Menashe was in sigint, that he was a "" key player, "" and that "" the Israelis want to hurt him bad "" for his leaks of high-level classified information."	79-85	8	0
player	He always showed a decent touch while playing with skilled players with the Avs, often on a line with Joe Sakic, and now he is productive again. '	59-66	0	0
player	Players collide, and the ball goes rolling, unmolested.	0-7	0	0
player	"But there's certainly a disfiguration in the symmetry of a player's career numbers based on this. """	59-65	0	0
player	He slopped around in big T-shirts and oversized jeans, alternately grimacing and grinning at the music earphoned into his head from an improbably tiny device, an iPod or an M player.	175-181	2	2
player	The only player who truly understands this kind of cartoon is not the blond, bland star but Severn Darden, a refugee from Chicago's improvisational Second City troupe.	9-15	0	0
player	The leads (Nick Nolte and JoBeth Williams) and a raft of good supporting players are simply set adrift, looking for a logical line to which their bedraggled characters might cling.	73-80	1	0
player	Players needed The Texas Pride Baseball Academy is now registering players for its 16-and-under and 18-and-under winter select baseball teams.	0-7	0	0
player	CENTRAL Pittsburgh (12-4, first) THE GOOD: It doesn't get any better than Rod Woodson at cornerback, the best defensive player and the best special-teams player in the league.	120-126	0	0
player	The breakdown: 23 as a manager (19 with Phillies), 17 as a player and six as a coach.	59-65	0	0
player	Sox have given their center field berth to Ken Berry, a real slick defensive player.	77-83	0	0
player	Other players say that the sickle stick helps them to scoop the puck off the boards and, by cradling it inside the curve, shield it from the goalie's vision.	6-13	0	0
player	"You ought to send that stuff direct, "" the card player said. """	48-54	0	0
player	As two players tried to push him out of bounds on the Alabama 40-yd.	7-14	0	0
player	It is tough to judge the relationships between owners and players.	58-65	0	0
player	The players ' contracts have to be done in a sound financial way.	4-11	0	0
player	Tennis, a workingman's game in Australia, has inthe neighborhood of 300,000 registered tournament players and another 550,000 unregistered players?	98-105	0	0
player	But Florida State's players still hear from their head coach frequently.	20-27	0	0
player	You have to rationalize its commitment to the warrior values that, nostalgized and bastardized, would help make Japan such a cruel and dangerous player on the world stage less than a century later.	145-151	3	0
player	"Buck "" Jackson, the junior varsity football player."	44-50	0	0
player	"Yet few players are willing to take, or work on, that mid-range jumper. """	8-15	0	0
player	Do any of these players - gone or soon to be free from local contracts - have a future with Fox? '	16-23	0	0
player	While the tennis players brought the social cachet of their sport, the real mission was assigned to the executives, among them traders in oil, liquor, commodities, hotels and communications satellites.	17-24	0	0
player	For purposes of player movement, the definition of a premier player has been tightly defined and excludes players with 12 years or more of service, those over 35 and any player who has been a free agent before.	61-67	0	0
player	She introduced her bass player in a breathy voice as a man who had the biggest instrument she'd ever seen.	24-30	0	0
player	He longed for it the way little boys and girls long to be first picks for kickball teams, rather than among the last few players neither side's captain	121-128	0	0
